,Course\Teacher,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50
18,C19,1.0,24.0,17.0,,6.0,,4.0,,12.0,30.0,17.0,3.0,14.0,2.0,41.0,42.0,4.0,44.0,36.0,,,,,,,,3.0,1.0,36.0,22.0,,4.0,24.0,32.0,44.0,22.0,4.0,20.0,14.0,,2.0,10.0,21.0,26.0,,3.0,26.0,8.0,22.0,12.0
19,C20,29.0,29.0,4.0,,24.0,,27.0,,20.0,20.0,31.0,10.0,8.0,3.0,18.0,20.0,2.0,21.0,22.0,6.0,,,,,,,17.0,4.0,17.0,12.0,,2.0,28.0,21.0,23.0,6.0,18.0,18.0,,,16.0,33.0,25.0,14.0,,9.0,2.0,12.0,11.0,2.0
20,C21,40.0,36.0,13.0,,27.0,,30.0,,21.0,11.0,15.0,49.0,1.0,15.0,53.0,1.0,1.0,7.0,25.0,21.0,21.0,,,,,,16.0,30.0,33.0,25.0,,16.0,15.0,7.0,52.0,16.0,5.0,1.0,,,11.0,1.0,36.0,18.0,,8.0,27.0,20.0,1.0,3.0
21,C22,52.0,19.0,3.0,,2.0,,16.0,,6.0,23.0,27.0,16.0,5.0,11.0,1.0,48.0,7.0,22.0,21.0,18.0,40.0,7.0,,,,,14.0,9.0,28.0,13.0,,23.0,27.0,4.0,18.0,11.0,9.0,11.0,,,5.0,17.0,33.0,23.0,,21.0,25.0,4.0,46.0,7.0
22,C23,6.0,21.0,22.0,,12.0,,9.0,,14.0,24.0,21.0,24.0,6.0,6.0,2.0,4.0,3.0,38.0,13.0,20.0,45.0,4.0,1.0,,,,12.0,23.0,14.0,28.0,,15.0,19.0,15.0,9.0,18.0,17.0,2.0,,,14.0,28.0,12.0,5.0,,1.0,6.0,6.0,6.0,18.0
23,C24,38.0,18.0,14.0,,5.0,,36.0,,15.0,1.0,7.0,40.0,9.0,8.0,36.0,3.0,8.0,20.0,5.0,11.0,29.0,5.0,13.0,8.0,,,13.0,29.0,20.0,15.0,,12.0,5.0,28.0,34.0,15.0,11.0,4.0,,,7.0,27.0,35.0,28.0,,15.0,12.0,23.0,38.0,22.0
24,C25,33.0,20.0,,,9.0,,50.0,,5.0,15.0,20.0,25.0,7.0,13.0,51.0,16.0,,29.0,9.0,5.0,43.0,1.0,30.0,22.0,4.0,,20.0,13.0,7.0,6.0,,20.0,6.0,20.0,51.0,,7.0,6.0,,,8.0,25.0,5.0,6.0,,6.0,13.0,7.0,44.0,28.0
25,C26,50.0,3.0,,,20.0,,14.0,,11.0,22.0,5.0,29.0,13.0,9.0,48.0,13.0,,36.0,35.0,22.0,16.0,2.0,7.0,1.0,12.0,21.0,5.0,18.0,32.0,21.0,,5.0,26.0,40.0,24.0,,16.0,7.0,,,13.0,16.0,18.0,17.0,,17.0,3.0,14.0,53.0,15.0
26,C27,5.0,34.0,,,25.0,,35.0,,13.0,21.0,10.0,50.0,,14.0,56.0,2.0,,9.0,26.0,2.0,11.0,3.0,14.0,9.0,38.0,7.0,26.0,5.0,29.0,4.0,,14.0,7.0,12.0,43.0,,24.0,19.0,,,26.0,6.0,11.0,11.0,,,23.0,11.0,10.0,31.0
27,C28,18.0,6.0,,,18.0,,20.0,,17.0,36.0,18.0,28.0,,12.0,12.0,45.0,,27.0,24.0,10.0,20.0,6.0,15.0,2.0,3.0,22.0,4.0,19.0,21.0,17.0,,17.0,9.0,19.0,40.0,,26.0,22.0,,,19.0,35.0,37.0,16.0,,,11.0,18.0,50.0,21.0
28,C29,32.0,28.0,,,7.0,,18.0,,2.0,9.0,24.0,48.0,,,28.0,26.0,,13.0,7.0,4.0,1.0,,29.0,4.0,37.0,29.0,6.0,10.0,12.0,19.0,,,21.0,41.0,32.0,,15.0,23.0,,,24.0,3.0,16.0,21.0,,,14.0,9.0,39.0,11.0
29,C30,36.0,23.0,,,13.0,,46.0,,16.0,2.0,13.0,37.0,,,11.0,29.0,,35.0,32.0,16.0,34.0,,20.0,10.0,1.0,8.0,11.0,7.0,34.0,30.0,,,31.0,42.0,49.0,,30.0,13.0,,,17.0,24.0,39.0,25.0,,,5.0,10.0,18.0,25.0
30,C31,14.0,14.0,,,21.0,,41.0,,,26.0,22.0,6.0,,,27.0,5.0,,1.0,10.0,1.0,5.0,,9.0,12.0,27.0,13.0,24.0,20.0,25.0,,,,20.0,24.0,16.0,,29.0,16.0,,,20.0,21.0,8.0,,,,20.0,16.0,7.0,14.0
31,C32,31.0,30.0,,,,,21.0,,,16.0,3.0,9.0,,,39.0,38.0,,4.0,11.0,15.0,33.0,,24.0,6.0,9.0,20.0,,6.0,26.0,,,,13.0,29.0,14.0,,,28.0,,,,11.0,13.0,,,,24.0,,19.0,23.0
32,C33,2.0,12.0,,,,,22.0,,,25.0,9.0,41.0,,,3.0,47.0,,24.0,16.0,12.0,7.0,,33.0,20.0,26.0,5.0,,11.0,37.0,,,,14.0,34.0,3.0,,,30.0,,,,2.0,10.0,,,,7.0,,41.0,
33,C34,55.0,13.0,,,,,25.0,,,3.0,11.0,21.0,,,43.0,11.0,,25.0,28.0,3.0,17.0,,23.0,16.0,24.0,18.0,,12.0,22.0,,,,22.0,13.0,10.0,,,,,,,12.0,27.0,,,,,,3.0,
34,C35,21.0,38.0,,,,,45.0,,,31.0,28.0,35.0,,,5.0,33.0,,5.0,12.0,7.0,9.0,,8.0,24.0,2.0,14.0,,17.0,10.0,,,,29.0,27.0,22.0,,,,,,,19.0,15.0,,,,,,13.0,
35,C36,25.0,31.0,,,,,3.0,,,12.0,1.0,26.0,,,15.0,9.0,,6.0,14.0,8.0,13.0,,37.0,11.0,34.0,1.0,,21.0,24.0,,,,12.0,8.0,53.0,,,,,,,22.0,17.0,,,,,,17.0,
36,C37,53.0,40.0,,,,,5.0,,,18.0,2.0,5.0,,,7.0,28.0,,18.0,6.0,17.0,41.0,,31.0,19.0,8.0,6.0,,,38.0,,,,23.0,18.0,6.0,,,,,,,15.0,30.0,,,,,,35.0,
37,C38,13.0,4.0,,,,,6.0,,,8.0,23.0,27.0,,,33.0,15.0,,16.0,18.0,9.0,31.0,,32.0,17.0,10.0,10.0,,,6.0,,,,16.0,25.0,15.0,,,,,,,26.0,20.0,,,,,,52.0,
38,C39,30.0,11.0,,,,,42.0,,,33.0,8.0,32.0,,,8.0,34.0,,3.0,17.0,13.0,19.0,,22.0,7.0,19.0,28.0,,,11.0,,,,,22.0,47.0,,,,,,,5.0,23.0,,,,,,34.0,
39,C40,26.0,22.0,,,,,34.0,,,27.0,19.0,38.0,,,34.0,21.0,,41.0,4.0,14.0,44.0,,6.0,3.0,23.0,11.0,,,31.0,,,,,10.0,7.0,,,,,,,31.0,19.0,,,,,,55.0,
40,C41,20.0,37.0,,,,,48.0,,,28.0,25.0,43.0,,,24.0,37.0,,19.0,27.0,19.0,3.0,,3.0,18.0,17.0,2.0,,,23.0,,,,,6.0,12.0,,,,,,,7.0,,,,,,,32.0,
41,C42,43.0,,,,,,7.0,,,35.0,,31.0,,,44.0,30.0,,14.0,39.0,,46.0,,16.0,15.0,36.0,27.0,,,5.0,,,,,26.0,37.0,,,,,,,20.0,,,,,,,16.0,
42,C43,7.0,,,,,,19.0,,,7.0,,13.0,,,54.0,6.0,,40.0,19.0,,27.0,,25.0,23.0,15.0,26.0,,,8.0,,,,,17.0,17.0,,,,,,,39.0,,,,,,,29.0,
43,C44,23.0,,,,,,13.0,,,32.0,,39.0,,,52.0,43.0,,33.0,30.0,,22.0,,39.0,21.0,35.0,23.0,,,42.0,,,,,9.0,26.0,,,,,,,8.0,,,,,,,48.0,
44,C45,24.0,,,,,,26.0,,,14.0,,20.0,,,14.0,39.0,,8.0,20.0,,24.0,,27.0,14.0,5.0,30.0,,,27.0,,,,,23.0,33.0,,,,,,,14.0,,,,,,,12.0,
45,C46,51.0,,,,,,49.0,,,,,7.0,,,17.0,25.0,,30.0,38.0,,8.0,,4.0,5.0,29.0,12.0,,,,,,,,36.0,45.0,,,,,,,,,,,,,,15.0,
46,C47,41.0,,,,,,31.0,,,,,17.0,,,19.0,19.0,,23.0,33.0,,12.0,,11.0,13.0,25.0,16.0,,,,,,,,37.0,30.0,,,,,,,,,,,,,,2.0,
47,C48,37.0,,,,,,33.0,,,,,11.0,,,32.0,22.0,,11.0,2.0,,35.0,,19.0,,20.0,17.0,,,,,,,,,25.0,,,,,,,,,,,,,,56.0,
48,C49,42.0,,,,,,12.0,,,,,47.0,,,25.0,44.0,,2.0,8.0,,2.0,,36.0,,32.0,4.0,,,,,,,,,31.0,,,,,,,,,,,,,,4.0,
49,C50,4.0,,,,,,39.0,,,,,33.0,,,37.0,36.0,,10.0,37.0,,26.0,,26.0,,33.0,9.0,,,,,,,,,5.0,,,,,,,,,,,,,,23.0,
50,C51,27.0,,,,,,29.0,,,,,30.0,,,40.0,46.0,,17.0,31.0,,42.0,,10.0,,31.0,3.0,,,,,,,,,38.0,,,,,,,,,,,,,,49.0,
51,C52,9.0,,,,,,10.0,,,,,36.0,,,29.0,27.0,,45.0,34.0,,28.0,,28.0,,21.0,15.0,,,,,,,,,36.0,,,,,,,,,,,,,,54.0,
52,C53,47.0,,,,,,44.0,,,,,12.0,,,26.0,7.0,,43.0,3.0,,36.0,,38.0,,28.0,19.0,,,,,,,,,39.0,,,,,,,,,,,,,,51.0,
53,C54,54.0,,,,,,32.0,,,,,34.0,,,4.0,35.0,,28.0,15.0,,32.0,,18.0,,39.0,24.0,,,,,,,,,41.0,,,,,,,,,,,,,,20.0,
54,C55,44.0,,,,,,11.0,,,,,23.0,,,6.0,12.0,,12.0,1.0,,23.0,,17.0,,11.0,25.0,,,,,,,,,11.0,,,,,,,,,,,,,,42.0,
55,C56,,,,,,,23.0,,,,,22.0,,,9.0,32.0,,37.0,23.0,,18.0,,2.0,,14.0,,,,,,,,,,29.0,,,,,,,,,,,,,,5.0,
56,C57,,,,,,,,,,,,42.0,,,10.0,18.0,,32.0,29.0,,14.0,,5.0,,6.0,,,,,,,,,,20.0,,,,,,,,,,,,,,26.0,
57,C58,,,,,,,,,,,,14.0,,,49.0,41.0,,34.0,,,38.0,,12.0,,22.0,,,,,,,,,,2.0,,,,,,,,,,,,,,40.0,
58,C59,,,,,,,,,,,,44.0,,,22.0,10.0,,26.0,,,4.0,,35.0,,16.0,,,,,,,,,,42.0,,,,,,,,,,,,,,27.0,
59,C60,,,,,,,,,,,,15.0,,,47.0,14.0,,31.0,,,25.0,,34.0,,13.0,,,,,,,,,,46.0,,,,,,,,,,,,,,43.0,
