,CourseID,Course Name,Basic,No. Classes
112,C113,Course 113,0,1
113,C114,Course 114,0,1
114,C115,Course 115,1,1
115,C116,Course 116,1,1
116,C117,Course 117,1,1
117,C118,Course 118,1,1
118,C119,Course 119,1,1
119,C120,Course 120,1,1
120,C121,Course 121,1,1
121,C122,Course 122,0,1
122,C123,Course 123,0,1
123,C124,Course 124,1,1
124,C125,Course 125,1,1
125,C126,Course 126,0,1
126,C127,Course 127,0,1
127,C128,Course 128,1,1
128,C129,Course 129,0,1
129,C130,Course 130,1,1
130,C131,Course 131,0,1
131,C132,Course 132,1,1
132,C133,Course 133,0,1
133,C134,Course 134,0,1
134,C135,Course 135,1,1
135,C136,Course 136,0,1
136,C137,Course 137,0,1
137,C138,Course 138,1,1
138,C139,Course 139,0,1
139,C140,Course 140,1,1
140,C141,Course 141,1,1
141,C142,Course 142,1,1
142,C143,Course 143,1,1
143,C144,Course 144,1,1
144,C145,Course 145,1,1
145,C146,Course 146,1,1
146,C147,Course 147,0,1
147,C148,Course 148,1,1
148,C149,Course 149,0,1
149,C150,Course 150,1,1
150,C151,Course 151,0,1
151,C152,Course 152,1,1
152,C153,Course 153,1,1
153,C154,Course 154,1,1
154,C155,Course 155,1,1
155,C156,Course 156,1,1
156,C157,Course 157,0,1
157,C158,Course 158,1,1
158,C159,Course 159,1,1
159,C160,Course 160,0,1
160,C161,Course 161,1,1
161,C162,Course 162,0,1
162,C163,Course 163,1,1
163,C164,Course 164,1,1
164,C165,Course 165,1,1
165,C166,Course 166,1,1
166,C167,Course 167,1,1
167,C168,Course 168,1,1
168,C169,Course 169,1,1
169,C170,Course 170,1,1
170,C171,Course 171,1,1
171,C172,Course 172,0,1
172,C173,Course 173,1,1
173,C174,Course 174,1,1
174,C175,Course 175,0,1
175,C176,Course 176,1,1
176,C177,Course 177,1,1
177,C178,Course 178,0,1
178,C179,Course 179,0,1
179,C180,Course 180,0,1
180,C181,Course 181,1,1
181,C182,Course 182,0,1
182,C183,Course 183,1,1
183,C184,Course 184,0,1
184,C185,Course 185,1,1
185,C186,Course 186,0,1
186,C187,Course 187,1,1
187,C188,Course 188,1,1
188,C189,Course 189,1,1
189,C190,Course 190,1,1
190,C191,Course 191,1,1
191,C192,Course 192,1,1
192,C193,Course 193,0,1
193,C194,Course 194,0,1
194,C195,Course 195,1,1
195,C196,Course 196,0,1
196,C197,Course 197,1,1
197,C198,Course 198,1,1
198,C199,Course 199,1,1
199,C200,Course 200,0,1
200,C201,Course 201,1,1
201,C202,Course 202,1,1
202,C203,Course 203,1,1
203,C204,Course 204,0,1
204,C205,Course 205,1,1
205,C206,Course 206,1,1
206,C207,Course 207,0,1
207,C208,Course 208,1,1
208,C209,Course 209,0,1
209,C210,Course 210,0,1
210,C211,Course 211,0,1
211,C212,Course 212,0,1
212,C213,Course 213,1,1
213,C214,Course 214,0,1
214,C215,Course 215,1,1
215,C216,Course 216,1,1
216,C217,Course 217,1,1
217,C218,Course 218,1,1
218,C219,Course 219,1,1
219,C220,Course 220,1,1
220,C221,Course 221,1,1
221,C222,Course 222,1,1
222,C223,Course 223,1,1
223,C224,Course 224,1,1
224,C225,Course 225,1,1
225,C226,Course 226,1,1
226,C227,Course 227,0,1
227,C228,Course 228,1,1
228,C229,Course 229,1,1
229,C230,Course 230,0,1
230,C231,Course 231,1,1
231,C232,Course 232,0,1
232,C233,Course 233,1,1
233,C234,Course 234,0,1
234,C235,Course 235,0,1
235,C236,Course 236,1,1
236,C237,Course 237,1,1
237,C238,Course 238,1,1
238,C239,Course 239,1,1
239,C240,Course 240,1,1
240,C241,Course 241,0,1
